#1
double tab1(25,2)   # comment line
           0          25.0
        3600          25.0
        7200          25.0
       10800          25.0
       14400          25.0
       18000          25.0
       21600          25.0
       25200          25.0
       28800          25.0
       32400          25.0
       36000          25.0
       39600          25.0
       43200          25.0
       46800          25.0
       50400          25.0
       54000          25.0
       57600          25.0
       61200          25.0
       64800          25.0
       68400          25.0
       72000          25.0
       75600          25.0
       79200          25.0
       82800          25.0
       86400          25.0
