#1
double tab1(25,2)   # comment line
           0          20.009745640319206
        3600          22.33160842676015
        7200          25.94987932347418
       10800          24.020729127425923
       14400          24.14639166783305
       18000          22.815886027443053
       21600          23.245701604863793
       25200          29.999940799541836
       28800          29.96494357055423
       32400          28.290986670800383
       36000          27.765941772913283
       39600          27.617774042248172
       43200          27.490421450922582
       46800          27.55893238460591
       50400          27.81254428243687
       54000          28.12730790917711
       57600          28.71383207597334
       61200          29.672394359204297
       64800          29.902582888411253
       68400          20.207585380403124
       72000          22.655792942968603
       75600          24.82173748951122
       79200          24.50018125855425
       82800          24.960137246029312
       86400          25.030436524783727
